titre;tags;url;id
Comment semer et démarrer le sorgho efficacement ?;{'agriculture', 'organique', 'céréale', 'sorgho', 'millet'};https://www.youtube.com/watch?v=kzs_eynyXaA;1
Quand commencer ses semis ?;{'loic', 'direct', 'terrine', 'paillage', 'reussir', 'commencer', 'quand', 'jardineur', 'carrés', 'période', 'couvert', 'compost', 'potager', 'techniques', 'fevrier', 'janvier', 'carré', 'tomates', 'faire', 'semis', 'sous', 'jardinage'};https://www.youtube.com/watch?v=_3Gu4rb8R6k;2
Quelles sont les principales maladies du riz ?;set();https://www.youtube.com/watch?v=8gPDiR7VaqY;3
Pourquoi les feuilles d'oignon pourrissent-elles si vite ;{'quel', 'faciles', 'planter', 'permaculture', 'quels', 'démarrer', 'facilement', 'légumes', '10', 'légume', '2023', 'vivant', 'cultiver', 'pousser', 'jardin', 'comment', 'maraichage', 'sol', 'potager', 'premiers', 'débutant', 'semer', 'faire', 'semis', 'calendrier', 'jardinage', 'pousse'};https://www.youtube.com/watch?v=ZgAn64jhwlY;4
Comment identifier et traiter les maladies ravageurs et carences des cultures d'oignon ?;{'conseilles', 'algérie', 'oignon', 'engrais', 'switzerland', 'france', 'problèmes', 'légumes', 'feuilles', 'traitements', 'entretien', 'cultures', 'tunisie', 'oigon', 'culture', 'suisse', 'jardin', 'insectes', 'poireau', 'cultutre', 'astuces', 'ravageur', 'plantation', 'carences', 'technique', 'maroc', 'ravageurs', 'maladies', 'conseil', 'jardinage', 'belgique'};https://www.youtube.com/watch?v=h_YKZniVs9k;5
Comment PLANTER les OIGNONS ? ;{'légume', 'planter', 'cultiver', 'oignon', 'culture', 'oignons', 'potager', 'plantation', 'jardinage'};https://www.youtube.com/watch?v=cb4WEMOg8jE;6
Comment gérer les maladies et les ravageurs sous serre ?;{'serre', 'insecte', 'plante', 'culture', 'ravageur', 'maladie', 'sous', 'jardinage'};https://www.youtube.com/watch?v=OxSiD95jr2E;7
Quel sont les maladies des tomates ?;{'légumes', 'tomates', 'botrytis', 'permaculture', 'potager', 'oidium', 'maladies', 'jardin', 'jardinier', 'jardinage'};https://www.youtube.com/watch?v=2YrH9uZi744;8
Comment cultiver les Tomates et récolter énormément ? ;{'tomate', 'serre', 'tomates', 'écologie', 'cultiver', 'permaculture', 'damien', 'dekarz', 'jardinage', 'autonomie'};https://www.youtube.com/watch?v=rGTnLAJlCAQ;9
comment faire sa poudre de piments d'espelette ?;set();https://www.youtube.com/watch?v=r5D4_cKBRMg;10
Comment conserver les piments et poivrons ?;{'conservation', 'poivron', 'séchage', 'méthode', 'déshydratation', 'technique', 'piment', 'conserver'};https://www.youtube.com/watch?v=MZsTWu1w58w;11
Comment se débarrasser gratuitement des serpents, termites et fourmis ?;set();https://www.youtube.com/watch?v=81NE2Ffd3Fg;12
Pourquoi y a-t-il des taches noires sur les feuilles des plantes et comment les traiter ? ;{'plantes', 'car', 'brunes', 'a', 'feuilles', 'comment', 'plante', 'taches', 'malade', 'noires', 'nettoyer', 'brunissent', 'succulentes', 'plates', 'éviter', 'pourquoi', 'verte'};https://www.youtube.com/watch?v=IcClHcjoygE;13
Comment identifier et traiter le mildiou ?;{'rustica', 'rouille', 'hubert', 'rusticatv', 'champignon', 'astuce', 'truc', 'youtube', 'chaine', 'jardin', 'magazine', 'maladie', 'tv', 'jardinier', 'video', 'videos', 'jardinage'};https://www.youtube.com/watch?v=kpLbSwvHxl8;14
Comment rendre les semences du mil plus résistante à la sécheresse ?;set();https://www.youtube.com/watch?v=kKb451U9QWg;15
Comment réussir le semis du sorgho grain ?;{'tnf80', 'sorghum', 'semis', 'ng3', 'monosem', 'grain', 'sorgho'};https://www.youtube.com/watch?v=fexR0HSFAao;16
